,synthetic mass,,,,
t,x,y,vx,vy,
0.000000E0,-1.314230E0,1.236860E-1,,
1.000000E-1,-9.885735E-1,1.377405E-1,3.473076E0,1.554446E-2
2.000000E-1,-6.196152E-1,1.267949E-1,3.906089E0,-2.344555E-1
3.000000E-1,-2.073557E-1,9.084936E-2,4.339102E0,-4.844555E-1
4.000000E-1,2.482051E-1,2.990381E-2,4.772114E0,-7.344555E-1
5.000000E-1,7.470671E-1,-5.604174E-2,5.205127E0,-9.844555E-1
6.000000E-1,1.289230E0,-1.669873E-1,5.638140E0,-1.234456E0
7.000000E-1,1.874695E0,-3.029329E-1,6.071152E0,-1.484456E0
8.000000E-1,2.503461E0,-4.638784E-1,6.504165E0,-1.734456E0
9.000000E-1,3.175528E0,-6.498240E-1,6.937178E0,-1.984456E0
1.000000E0,3.890897E0,-8.607695E-1,7.370191E0,-2.234456E0
1.100000E0,4.649566E0,-1.096715E0,,
