frame,t,x,y,vx,vy
0,0.000000000,-1.314230484541,0.123686027919,3.040063509461,0.265544456623
1,0.100000000,-0.988573498501,0.137740473581,3.473076211353,0.015544456623
2,0.200000000,-0.619615242271,0.126794919243,3.906088913246,-0.234455543377
3,0.300000000,-0.207355715851,0.090849364905,4.339101615138,-0.484455543377
4,0.400000000,0.248205080757,0.029903810568,4.772114317030,-0.734455543377
5,0.500000000,0.747067147554,-0.056041743770,5.205127018922,-0.984455543377
6,0.600000000,1.289230484541,-0.166987298108,5.638139720814,-1.234455543377
7,0.700000000,1.874695091717,-0.302932852446,6.071152422707,-1.484455543377
8,0.800000000,2.503460969083,-0.463878406783,6.504165124599,-1.734455543377
9,0.900000000,3.175528116637,-0.649823961121,6.937177826491,-1.984455543377
10,1.000000000,3.890896534381,-0.860769515459,7.370190528383,-2.234455543377
11,1.100000000,4.649566222314,-1.096715069796,7.803203230276,-2.484455543377
